Gene ID	Gene Annotation	metags/corn
gi|909637279|emb|LN713527.1|	Mesorhizobium sp. CCANP133 partial nifH gene for NifH, strain CCANP133	69
gi|909637251|emb|LN713513.1|	Mesorhizobium sp. CCANP58 partial nifH gene for NifH, strain CCANP58	44
gi|712138444|gb|KP069487.1|	Uncultured bacterium clone ISA3408 NifH (nifH) gene, partial cds	70
gi|305390406|gb|HM583800.1|	Paenibacillus sabinae strain T27 ABC transporters and NifH (nifH) genes, complete cds	30
gi|712138496|gb|KP069504.1|	Uncultured bacterium clone ISA4812 NifH (nifH) gene, partial cds	200
gi|909637271|emb|LN713523.1|	Mesorhizobium opportunistum partial nifH gene for NifH, strain CCANP113	145
gi|193525394|gb|EU748937.1|	Mesorhizobium sp. ML128 NifH (nifH) gene, partial cds	46
gi|712138547|gb|KP069521.1|	Uncultured bacterium clone ISA8003 NifH (nifH) gene, partial cds	398
gi|909637261|emb|LN713518.1|	Mesorhizobium ciceri partial nifH gene for NifH, strain CCANP79	57
gi|909637275|emb|LN713525.1|	Mesorhizobium tamadayense partial nifH gene for NifH, strain CCANP122	44
gi|799310232|gb|KM103912.1|	Pseudacidovorax intermedius NH-1 NifH (nifH) gene, complete cds	469
gi|909637259|emb|LN713517.1|	Mesorhizobium sp. CCANP68 partial nifH gene for NifH, strain CCANP68	62
gi|909637241|emb|LN713508.1|	Mesorhizobium sp. CCANP34 partial nifH gene for NifH, strain CCANP34	126
gi|242263531|gb|FJ514071.1|	Bradyrhizobium yuanmingense strain SR30 NifH (nifH) gene, partial cds	23
gi|712138568|gb|KP069528.1|	Uncultured bacterium clone ISA6104 NifH (nifH) gene, partial cds	130
gi|712138474|gb|KP069497.1|	Uncultured bacterium clone ISA4207 NifH (nifH) gene, partial cds	76
gi|712138450|gb|KP069489.1|	Uncultured bacterium clone ISA3516 NifH (nifH) gene, partial cds	43
gi|226446798|gb|FJ348670.1|	Bradyrhizobium sp. RSA104 NifH (nifH) gene, partial cds	35
gi|226446804|gb|FJ348673.1|	Bradyrhizobium sp. RRD24 NifH (nifH) gene, partial cds	64
gi|712138511|gb|KP069509.1|	Uncultured bacterium clone ISA7401 NifH (nifH) gene, partial cds	54
gi|909637233|emb|LN713504.1|	Mesorhizobium ciceri partial nifH gene for NifH, strain CCANP14	15
gi|712138571|gb|KP069529.1|	Uncultured bacterium clone ISA8501 NifH (nifH) gene, partial cds	126
gi|712138468|gb|KP069495.1|	Uncultured bacterium clone ISA4015 NifH (nifH) gene, partial cds	35
gi|38679|emb|X51500.1|	Azospirillum brasilense NifH gene	165
gi|410023131|gb|JX570695.1|	Klebsiella pneumoniae isolate HUB-IV-004 NifH (nifH) gene, complete cds	55
gi|712138471|gb|KP069496.1|	Uncultured bacterium clone ISA4105 NifH (nifH) gene, partial cds	85
gi|909637265|emb|LN713520.1|	Mesorhizobium sp. CCANP87 partial nifH gene for NifH, strain CCANP87	28
gi|712138432|gb|KP069483.1|	Uncultured bacterium clone ISA3015 NifH (nifH) gene, partial cds	76
gi|909637277|emb|LN713526.1|	Mesorhizobium sp. CCANP130 partial nifH gene for NifH, strain CCANP130	113
gi|712138544|gb|KP069520.1|	Uncultured bacterium clone ISA5801 NifH (nifH) gene, partial cds	24
gi|470075|emb|Z31716.1|	Nostoc PCC 6720 nifH, nifD, nifU genes	39
gi|193525405|gb|EU748943.1|	Mesorhizobium sp. ML108 NifH (nifH) gene, partial cds	18
gi|909637273|emb|LN713524.1|	Mesorhizobium sp. CCANP117 partial nifH gene for NifH, strain CCANP117	61
gi|712138435|gb|KP069484.1|	Uncultured bacterium clone ISA3117 NifH (nifH) gene, partial cds	65
gi|712138586|gb|KP069534.1|	Uncultured bacterium clone ISA7006 NifH (nifH) gene, partial cds	54
gi|712138441|gb|KP069486.1|	Uncultured bacterium clone ISA3306 NifH (nifH) gene, partial cds	52
gi|712138562|gb|KP069526.1|	Uncultured bacterium clone ISA8304 NifH (nifH) gene, partial cds	27
gi|712138465|gb|KP069494.1|	Uncultured bacterium clone ISA7206 NifH (nifH) gene, partial cds	34
gi|712138508|gb|KP069508.1|	Uncultured bacterium clone ISA5208 NifH (nifH) gene, partial cds	12
gi|909637255|emb|LN713515.1|	Mesorhizobium sp. CCANP63 partial nifH gene for NifH, strain CCANP63	19
gi|712138556|gb|KP069524.1|	Uncultured bacterium clone ISA8203 NifH (nifH) gene, partial cds	4
gi|909637231|emb|LN713503.1|	Mesorhizobium sp. CCANP11 partial nifH gene for NifH, strain CCANP11	2
gi|909637226|emb|LN713501.1|	Mesorhizobium australicum partial nifH gene for NifH, strain CCANP1	20
gi|712138541|gb|KP069519.1|	Uncultured bacterium clone ISA7901 NifH (nifH) gene, partial cds	10
gi|712138481|gb|KP069499.1|	Uncultured bacterium clone ISA4308 NifH (nifH) gene, partial cds	7
