	metags/corn	metags/prairie	metags/soybean
HM019532	440	432	401
GQ167294	100	88	140
GQ167284	48	38	57
CP007744	6	1	1
AOBS01000009	44	35	38
K00487	378	343	255
HM583800	10	14	19
CP002447	140	128	221
CAAF010000045	54	111	74
GQ167283	24	36	84
CP000529	8	12	5
AP017605	73	61	44
AJ302315	64	42	36
CP000613	37	33	27
JN390678	424	349	365
EF158806	19	17	5
LGTE01000008	18	27	11
BA000012	9	20	19
EU514542	15	17	22
CP001649	17	33	8
AP012279	136	210	191
AFWT01000020	23	29	29
HM019531	101	101	114
ACUX02000016	6	4	5
AE017180	13	12	7
HM146187	14	11	5
AP010904	30	11	18
AB189641	16	10	18
K01620	200	241	224
CP001016	12	4	7
CP012899	183	214	171
M64344	24	55	38
CAFH01000025	51	95	102
AEVM01000015	32	55	55
AP007255	39	22	35
AP012557	60	132	105
CU234118	47	58	77
CP000781	31	35	27
AFWV01000003	36	43	46
AE017282	36	37	11
CP000089	53	53	22
L41344	21	8	1
CP000304	19	13	24
HQ115059	20	12	1
CP000142	3	4	2
X13303	10	11	2
AGSN01000010	76	74	83
CP000673	41	36	24
CP001654	24	4	11
Z31716	13	17	15
LYTK01000023	108	174	142
CP002364	54	45	25
AGJF01000003	30	37	59
CP000698	31	22	39
CP001715	38	18	44
AB685466	28	33	26
EF158807	48	21	34
CP003220	19	19	6
AFER01000001	16	17	15
GQ167291	13	24	22
X51756	18	14	14
CP001841	3	18	24
CP002479	25	16	16
CP002038	2	9	9
HE577327	6	18	9
AE017286	38	33	34
CP002400	2	4	2
CP000471	11	23	16
CP000463	3	4	1
HE663493	23	9	16
EU514545	18	26	44
CP002085	48	47	29
ACYY01000009	32	56	38
CP001390	19	10	11
CP000117	11	12	16
ADVE01000002	6	13	13
CP001940	15	14	6
CP000482	53	53	67
ABEA02000005	10	10	8
CP001087	19	2	28
CP000661	14	5	8
CABR01000056	7	14	8
CP000494	40	38	41
AFBX01000924	19	33	50
CP001965	48	27	56
M15238	40	57	36
GQ167287	10	20	13
CP000301	10	20	2
CP000250	3	6	9
GQ167295	11	8	28
GQ167297	6	8	6
AFWT01000026	6	7	3
CP001131	55	32	34
CP002418	11	5	15
CP001089	11	11	14
AECZ01000006	20	21	10
AEFB01001137	2	0	1
CP001013	26	8	5
JMPO01000160	18	21	10
FQ311868	6	12	1
LNCD01000005	4	2	0
AASE01000001	38	4	52
AFWU01000019	7	13	18
GQ167279	3	5	12
AEWG01000097	6	8	6
CP000964	14	16	1
X07866	2	1	1
CP000943	15	8	17
CP000271	14	12	9
ANFS01000041	24	34	21
ABEA02000149	5	3	10
CP001197	6	5	5
AP012304	6	2	1
AYTZ01000003	4	2	2
CP001124	20	35	19
AEWJ01000022	2	5	5
LNHV01000100	10	2	10
AP010946	7	20	13
GQ167292	25	37	47
JZUR01000032	10	4	1
CP000544	3	3	10
X13519	9	17	23
CP001322	3	2	2
GQ167293	11	8	16
EF158799	2	6	17
EF158801	9	10	11
GQ167281	1	1	4
CP001661	12	1	18
CP000769	6	0	5
HQ115058	7	14	8
CP013633	8	6	10
HQ115055	10	5	10
CP013737	2	2	0
AF200742	12	13	19
CP001157	2	3	1
AP012320	2	1	1
AY318755	4	5	3
BX572597	5	7	5
CP003406	2	3	0
EF165526	1	4	4
CP001101	1	3	2
EF158802	3	3	10
CP003243	7	4	5
M11579	2	4	5
CP002551	1	5	5
AF194084	2	1	2
AYIC01000009	3	2	2
CP000240	3	3	2
FRCO01000001	4	8	7
U53362	3	2	2
CP001312	1	0	0
CP001349	3	5	0
AF030414	2	0	3
HM583799	1	6	0
AY242355	1	4	0
GQ167285	1	1	2
CP000616	4	4	1
HQ670655	1	0	0
CP000724	4	3	1
AYPY01000026	1	3	0
AB196476	1	1	0
CP002738	1	0	0
AGSB01000063	0	38	1
CP003516	0	22	31
CP002985	0	2	2
GQ342604	0	3	0
AGFD01000008	0	2	4
AH000924	0	2	0
AJGU01000011	0	1	0
GQ167282	0	1	1
JN021930	0	5	3
AJ299453	0	2	0
CP003153	0	1	0
CP001280	0	1	0
EU514544	0	1	1
CP001896	0	2	2
EF158808	0	1	1
AL672114	0	0	5
